CPT,FLEX_1,FLEX_2,FLEX_3,FLEX_4,FLEX_5,Total_Salary,Mike_PPR_Score
Bijan Robinson,Brayden Narveson,Jordan Love,Josh Jacobs,Packers DST,Ray-Ray McCloud,49100.0,99.2
Jayden Reed,Bijan Robinson,Brayden Narveson,Josh Jacobs,Kyle Pitts,Packers DST,49300.0,99.65
Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Josh Jacobs,Michael Penix Jr.,Packers DST,48900.0,98.3
Bijan Robinson,Darnell Mooney,Drake London,Michael Penix Jr.,Packers DST,Younghoe Koo,49500.0,99.5
Packers DST,Bijan Robinson,Brayden Narveson,Drake London,Jayden Reed,Michael Penix Jr.,48800.0,101.95
Falcons DST,Bijan Robinson,Brayden Narveson,Drake London,Jayden Reed,Jordan Love,49200.0,100.2
Jayden Reed,Dontayvion Wicks,Drake London,Josh Jacobs,Michael Penix Jr.,Packers DST,49500.0,97.25
Michael Penix Jr.,Bijan Robinson,Darnell Mooney,Drake London,Packers DST,Younghoe Koo,48700.0,96.5
Jayden Reed,Bijan Robinson,Brayden Narveson,Falcons DST,Jordan Love,Romeo Doubs,49500.0,97.95
Jayden Reed,Bijan Robinson,Brayden Narveson,Josh Jacobs,Packers DST,Romeo Doubs,49500.0,99.35
Bijan Robinson,Darnell Mooney,Dontayvion Wicks,Falcons DST,Jayden Reed,Jordan Love,49500.0,97.3
Bijan Robinson,Dontayvion Wicks,Jayden Reed,Michael Penix Jr.,Packers DST,Romeo Doubs,49500.0,98.4
Packers DST,Bijan Robinson,Brayden Narveson,Christian Watson,Jordan Love,Michael Penix Jr.,49000.0,97.65
Josh Jacobs,Bijan Robinson,Jayden Reed,Kyle Pitts,Packers DST,Younghoe Koo,49600.0,98.65
Brayden Narveson,Bijan Robinson,Drake London,Jayden Reed,Michael Penix Jr.,Packers DST,49200.0,101.55
Michael Penix Jr.,Bijan Robinson,Brayden Narveson,Drake London,Kyle Pitts,Packers DST,49500.0,98.7
Drake London,Bijan Robinson,Brayden Narveson,Darnell Mooney,Josh Jacobs,Packers DST,49500.0,98.9
Packers DST,Bijan Robinson,Dontayvion Wicks,Jayden Reed,Jordan Love,Michael Penix Jr.,49600.0,100.65
Packers DST,Brayden Narveson,Drake London,Jordan Love,Josh Jacobs,Michael Penix Jr.,49600.0,98.55
Packers DST,Bijan Robinson,Jayden Reed,Josh Jacobs,Michael Penix Jr.,Younghoe Koo,49400.0,101.15
Packers DST,Drake London,Jordan Love,Josh Jacobs,Michael Penix Jr.,Younghoe Koo,49200.0,97.25
Drake London,Bijan Robinson,Christian Watson,Jayden Reed,Packers DST,Younghoe Koo,48900.0,98.4
Younghoe Koo,Bijan Robinson,Drake London,Jayden Reed,Josh Jacobs,Packers DST,49200.0,100.5
Drake London,Bijan Robinson,Darnell Mooney,Jordan Love,Packers DST,Younghoe Koo,49500.0,98.7
Jayden Reed,Bijan Robinson,Jordan Love,Kyle Pitts,Packers DST,Younghoe Koo,49300.0,99.45
Packers DST,Bijan Robinson,Jordan Love,Josh Jacobs,Kyle Pitts,Younghoe Koo,48400.0,96.75
Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Jordan Love,Michael Penix Jr.,Packers DST,49300.0,99.4
Bijan Robinson,Darnell Mooney,Jayden Reed,Jordan Love,Packers DST,Ray-Ray McCloud,49100.0,98.7
Falcons DST,Bijan Robinson,Brayden Narveson,Jayden Reed,Jordan Love,Michael Penix Jr.,49600.0,99.8
Packers DST,Bijan Robinson,Dontayvion Wicks,Drake London,Jayden Reed,Jordan Love,49200.0,101.05
Bijan Robinson,Josh Jacobs,Michael Penix Jr.,Packers DST,Tucker Kraft,Younghoe Koo,49500.0,98.2
Bijan Robinson,Drake London,Josh Jacobs,Packers DST,Tucker Kraft,Younghoe Koo,49100.0,98.6
Jayden Reed,Bijan Robinson,Brayden Narveson,Darnell Mooney,Josh Jacobs,Packers DST,48900.0,98.75
Drake London,Bijan Robinson,Brayden Narveson,Jayden Reed,Packers DST,Romeo Doubs,48700.0,98.9
Jordan Love,Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Michael Penix Jr.,Packers DST,49000.0,97.4
Bijan Robinson,Drake London,Jayden Reed,Kyle Pitts,Packers DST,Younghoe Koo,49100.0,100.7
Bijan Robinson,Darnell Mooney,Josh Jacobs,Michael Penix Jr.,Packers DST,Ray-Ray McCloud,49500.0,97.3
Bijan Robinson,Brayden Narveson,Falcons DST,Jayden Reed,Kyle Pitts,Michael Penix Jr.,49500.0,99.1
Packers DST,Jayden Reed,Jordan Love,Josh Jacobs,Michael Penix Jr.,Younghoe Koo,48800.0,97.15
Jayden Reed,Drake London,Falcons DST,Josh Jacobs,Michael Penix Jr.,Younghoe Koo,49300.0,96.35
Brayden Narveson,Bijan Robinson,Jordan Love,Michael Penix Jr.,Packers DST,Romeo Doubs,48800.0,96.45
Drake London,Bijan Robinson,Josh Jacobs,Kyle Pitts,Packers DST,Younghoe Koo,49500.0,98.5
Bijan Robinson,Jayden Reed,Jordan Love,Kyle Pitts,Packers DST,Ray-Ray McCloud,49500.0,99.6
Josh Jacobs,Bijan Robinson,Brayden Narveson,Drake London,Packers DST,Tucker Kraft,49000.0,97.35
Packers DST,Bijan Robinson,Drake London,Jayden Reed,Josh Jacobs,Younghoe Koo,49000.0,101.55
Bijan Robinson,Brayden Narveson,Jayden Reed,Josh Jacobs,Packers DST,Tucker Kraft,49100.0,99.8
Packers DST,Bijan Robinson,Jayden Reed,Jordan Love,Josh Jacobs,Ray-Ray McCloud,49400.0,100.45
Drake London,Jayden Reed,Jordan Love,Michael Penix Jr.,Packers DST,Ray-Ray McCloud,49300.0,97.3
Packers DST,Bijan Robinson,Brayden Narveson,Jordan Love,Josh Jacobs,Kyle Pitts,48800.0,98.05
Packers DST,Bijan Robinson,Brayden Narveson,Jordan Love,Josh Jacobs,Romeo Doubs,49000.0,97.75
Brayden Narveson,Jayden Reed,Jordan Love,Josh Jacobs,Michael Penix Jr.,Packers DST,49600.0,98.05
Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Jayden Reed,Jordan Love,Packers DST,48500.0,99.7
Jayden Reed,Bijan Robinson,Drake London,Falcons DST,Michael Penix Jr.,Ray-Ray McCloud,49300.0,98.75
Brayden Narveson,Bijan Robinson,Jordan Love,Josh Jacobs,Kyle Pitts,Packers DST,49200.0,97.65
Jayden Reed,Bijan Robinson,Brayden Narveson,Drake London,Packers DST,Romeo Doubs,48500.0,98.85
Drake London,Bijan Robinson,Brayden Narveson,Jayden Reed,Kyle Pitts,Packers DST,48500.0,99.2
Brayden Narveson,Drake London,Jayden Reed,Jordan Love,Josh Jacobs,Packers DST,49200.0,98.45
Bijan Robinson,Dontayvion Wicks,Jordan Love,Josh Jacobs,Packers DST,Younghoe Koo,49500.0,99.0
Packers DST,Darnell Mooney,Drake London,Jayden Reed,Jordan Love,Michael Penix Jr.,49600.0,98.05
Jayden Reed,Bijan Robinson,Brayden Narveson,Drake London,Kyle Pitts,Packers DST,48300.0,99.15
Michael Penix Jr.,Bijan Robinson,Brayden Narveson,Darnell Mooney,Drake London,Packers DST,49100.0,97.8
Bijan Robinson,Jayden Reed,Josh Jacobs,Kyle Pitts,Packers DST,Ray-Ray McCloud,49100.0,98.5
Drake London,Bijan Robinson,Jayden Reed,Kyle Pitts,Packers DST,Tucker Kraft,48900.0,97.5
Drake London,Bijan Robinson,Brayden Narveson,Kyle Pitts,Michael Penix Jr.,Packers DST,49300.0,98.9
Jordan Love,Bijan Robinson,Jayden Reed,Kyle Pitts,Packers DST,Ray-Ray McCloud,49200.0,97.6
Bijan Robinson,Brayden Narveson,Drake London,Michael Penix Jr.,Packers DST,Tucker Kraft,48900.0,99.0
Bijan Robinson,Darnell Mooney,Falcons DST,Jayden Reed,Josh Jacobs,Younghoe Koo,49300.0,97.8
Michael Penix Jr.,Drake London,Jayden Reed,Josh Jacobs,Packers DST,Ray-Ray McCloud,49100.0,96.0
Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Drake London,Jordan Love,Packers DST,48900.0,99.8
Bijan Robinson,Brayden Narveson,Drake London,Falcons DST,Jordan Love,Tucker Kraft,49500.0,98.5
Bijan Robinson,Darnell Mooney,Dontayvion Wicks,Jayden Reed,Josh Jacobs,Packers DST,49500.0,98.7
Bijan Robinson,Brayden Narveson,Drake London,Falcons DST,Jayden Reed,Romeo Doubs,49300.0,99.2
Packers DST,Bijan Robinson,Drake London,Jayden Reed,Michael Penix Jr.,Younghoe Koo,48400.0,100.65
Josh Jacobs,Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Jordan Love,Packers DST,49400.0,97.75
Bijan Robinson,Darnell Mooney,Drake London,Jayden Reed,Packers DST,Younghoe Koo,48700.0,99.8
Jayden Reed,Bijan Robinson,Brayden Narveson,Christian Watson,Michael Penix Jr.,Packers DST,49500.0,99.25
Drake London,Bijan Robinson,Brayden Narveson,Jordan Love,Packers DST,Tucker Kraft,48900.0,98.2
Jordan Love,Bijan Robinson,Darnell Mooney,Dontayvion Wicks,Jayden Reed,Packers DST,49600.0,97.8
Bijan Robinson,Christian Watson,Drake London,Falcons DST,Jayden Reed,Younghoe Koo,49500.0,98.7
Brayden Narveson,Bijan Robinson,Drake London,Falcons DST,Jayden Reed,Josh Jacobs,49400.0,99.95
Younghoe Koo,Bijan Robinson,Falcons DST,Jayden Reed,Jordan Love,Michael Penix Jr.,49600.0,98.7
Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Falcons DST,Jordan Love,Josh Jacobs,49500.0,97.8
Jordan Love,Drake London,Falcons DST,Jayden Reed,Michael Penix Jr.,Ray-Ray McCloud,49600.0,95.6
Packers DST,Bijan Robinson,Drake London,Jayden Reed,Michael Penix Jr.,Tucker Kraft,49200.0,100.25
Jayden Reed,Bijan Robinson,Christian Watson,Falcons DST,Josh Jacobs,Younghoe Koo,49300.0,96.35
Michael Penix Jr.,Bijan Robinson,Brayden Narveson,Jayden Reed,Kyle Pitts,Packers DST,49100.0,98.6
Packers DST,Bijan Robinson,Dontayvion Wicks,Drake London,Josh Jacobs,Michael Penix Jr.,49600.0,99.65
Bijan Robinson,Brayden Narveson,Drake London,Jordan Love,Packers DST,Tyler Allgeier,49300.0,99.1
Bijan Robinson,Brayden Narveson,Christian Watson,Darnell Mooney,Jordan Love,Packers DST,49300.0,96.8
Jayden Reed,Brayden Narveson,Jordan Love,Josh Jacobs,Kyle Pitts,Packers DST,48700.0,95.65
Packers DST,Bijan Robinson,Dontayvion Wicks,Jayden Reed,Josh Jacobs,Michael Penix Jr.,49200.0,99.55
Josh Jacobs,Bijan Robinson,Brayden Narveson,Falcons DST,Jayden Reed,Kyle Pitts,49600.0,97.45
Packers DST,Brayden Narveson,Drake London,Jayden Reed,Jordan Love,Josh Jacobs,48800.0,98.85
Bijan Robinson,Brayden Narveson,Darnell Mooney,Drake London,Falcons DST,Michael Penix Jr.,49500.0,98.3
Bijan Robinson,Dontayvion Wicks,Falcons DST,Jayden Reed,Josh Jacobs,Kyle Pitts,49500.0,97.1
Jayden Reed,Bijan Robinson,Brayden Narveson,Michael Penix Jr.,Packers DST,Romeo Doubs,48900.0,98.45
Jordan Love,Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Josh Jacobs,Packers DST,49600.0,98.3
Packers DST,Bijan Robinson,Brayden Narveson,Christian Watson,Jordan Love,Josh Jacobs,49600.0,98.55
Bijan Robinson,Brayden Narveson,Christian Watson,Josh Jacobs,Packers DST,Romeo Doubs,49500.0,96.3
Falcons DST,Bijan Robinson,Brayden Narveson,Jayden Reed,Josh Jacobs,Michael Penix Jr.,49200.0,98.7
Jayden Reed,Bijan Robinson,Darnell Mooney,Drake London,Falcons DST,Romeo Doubs,49500.0,96.45
Drake London,Bijan Robinson,Brayden Narveson,Darnell Mooney,Michael Penix Jr.,Packers DST,48900.0,98.0
Drake London,Bijan Robinson,Darnell Mooney,Dontayvion Wicks,Jordan Love,Packers DST,49300.0,97.1
Drake London,Bijan Robinson,Jayden Reed,Packers DST,Romeo Doubs,Younghoe Koo,48300.0,97.6
Bijan Robinson,Brayden Narveson,Jordan Love,Michael Penix Jr.,Packers DST,Ray-Ray McCloud,48500.0,98.3
Bijan Robinson,Jayden Reed,Jordan Love,Packers DST,Tucker Kraft,Younghoe Koo,49100.0,99.6
Drake London,Falcons DST,Jayden Reed,Josh Jacobs,Michael Penix Jr.,Younghoe Koo,49500.0,96.4
Jayden Reed,Bijan Robinson,Josh Jacobs,Packers DST,Romeo Doubs,Younghoe Koo,49100.0,98.05
Jordan Love,Bijan Robinson,Brayden Narveson,Dontayvion Wicks,Drake London,Packers DST,48600.0,97.8
Younghoe Koo,Bijan Robinson,Drake London,Falcons DST,Jayden Reed,Josh Jacobs,48800.0,98.0
Bijan Robinson,Jayden Reed,Josh Jacobs,Packers DST,Ray-Ray McCloud,Romeo Doubs,49300.0,98.2
Jordan Love,Brayden Narveson,Jayden Reed,Kyle Pitts,Michael Penix Jr.,Packers DST,49000.0,95.6
Jordan Love,Bijan Robinson,Darnell Mooney,Falcons DST,Jayden Reed,Younghoe Koo,49400.0,96.9
Falcons DST,Bijan Robinson,Dontayvion Wicks,Drake London,Jordan Love,Michael Penix Jr.,49400.0,97.0
Bijan Robinson,Drake London,Falcons DST,Kyle Pitts,Michael Penix Jr.,Younghoe Koo,49500.0,97.9
Packers DST,Bijan Robinson,Jayden Reed,Jordan Love,Kyle Pitts,Romeo Doubs,49400.0,98.15
Bijan Robinson,Christian Watson,Jayden Reed,Michael Penix Jr.,Packers DST,Ray-Ray McCloud,49300.0,98.1
Jayden Reed,Bijan Robinson,Josh Jacobs,Kyle Pitts,Packers DST,Younghoe Koo,48900.0,98.35
Drake London,Bijan Robinson,Brayden Narveson,Michael Penix Jr.,Packers DST,Romeo Doubs,49500.0,98.6
Bijan Robinson,Darnell Mooney,Drake London,Jayden Reed,Packers DST,Tucker Kraft,49500.0,99.4
